site;quadrat;ID_quadrat;marquage;ID_ind;phenoS1;tailleS1;phenoS2;tailleS2;phenoS3;tailleS3;nbfleurs;nbfruits;predation
Vigne au Renard;4;VaR.Q4;18;VaR.Q4.18;j;11;nf;12,5;j;12;0;0;1
Vigne au Renard;4;VaR.Q4;180;VaR.Q4.180;j;10;j;11,5;j;11,5;0;0;0
Vigne au Renard;4;VaR.Q4;19;VaR.Q4.19;nf;26;nf;27;nf;23;0;0;1
Vigne au Renard;4;VaR.Q4;29;VaR.Q4.29;j;19;j;0;j;0;0;0;1
Vigne au Renard;4;VaR.Q4;54;VaR.Q4.54;nf;22;nf;22,2;nf;26,4;0;0;0
Vigne au Renard;4;VaR.Q4;55;VaR.Q4.55;f;29;ff;30,1;ff;34;1;0;0
Vigne au Renard;4;VaR.Q4;63;VaR.Q4.63;nf;28;nf;29,5;nf;28,1;0;0;1
Vigne au Renard;4;VaR.Q4;81;VaR.Q4.81;j;14;j;15;j;15;0;0;0
Vigne au Renard;4;VaR.Q4;20;VaR.Q4.20;NA;NA;j;14;j;14,5;0;0;0
Vigne au Renard;4;VaR.Q4;50;VaR.Q4.50;NA;NA;j;10,5;j;9,3;0;0;1
Vigne au Renard;8;VaR.Q8;21;VaR.Q8.21;nf;33;f;39,6;F;41,5;1;1;0
Vigne au Renard;8;VaR.Q8;31;VaR.Q8.31;nf;14,4;nf;19,6;nf;20,4;0;0;1
Vigne au Renard;8;VaR.Q8;34;VaR.Q8.34;nf;23;nf;16,5;nf;15,5;0;0;1
Vigne au Renard;8;VaR.Q8;36;VaR.Q8.36;j;13;nf;4;j;0;0;0;1
Vigne au Renard;8;VaR.Q8;57;VaR.Q8.57;nf;25,2;f;39,5;F;41,9;1;1;0
Vigne au Renard;8;VaR.Q8;60;VaR.Q8.60;nf;25,5;f;41,9;F;44;1;1;0
Vigne au Renard;8;VaR.Q8;63;VaR.Q8.63;nf;11;nf;14,5;nf;14,5;0;0;1
Vigne au Renard;8;VaR.Q8;76;VaR.Q8.76;nf;20;nf;24,2;j;0;0;0;1
Vigne au Renard;8;VaR.Q8;84;VaR.Q8.84;nf;20,9;nf;27;nf;29,6;0;0;0
Vigne au Renard;8;VaR.Q8;88;VaR.Q8.88;nf;10;nf;12,4;nf;14,5;0;0;1
Vigne au Renard;8;VaR.Q8;94;VaR.Q8.94;nf;11,8;nf;16;nf;15,6;0;0;1
Vigne au Renard;8;VaR.Q8;1;VaR.Q8.1;j;10;j;12;NA;NA;NA;NA;NA
Vigne au Renard;2;VaR.Q2;3;VaR.Q2.3;j;15;j;16;j;15,5;0;0;1
Vigne au Renard;2;VaR.Q2;12;VaR.Q2.12;nf;24;nf;25,7;nf;24,7;0;0;1
Vigne au Renard;2;VaR.Q2;13;VaR.Q2.13;j;19,8;nf;21,5;nf;21,5;0;0;0
Vigne au Renard;2;VaR.Q2;17;VaR.Q2.17;nf;24,2;nf;26;j;0;0;0;1
Vigne au Renard;2;VaR.Q2;24;VaR.Q2.24;nf;28;nf;29;nf;29,5;0;0;0
